,total_event_count,total_event_percentage,order_count,order_percentage,no_order_count,no_order_percentage
50.0,118323,4.29,46943,6.66,71380,3.48
66.0,65987,2.39,28266,4.01,37721,1.84
90.0,64779,2.35,18970,2.69,45809,2.23
101.0,63884,2.32,16413,2.33,47471,2.31
116.0,62340,2.26,3360,0.48,58980,2.88
25.0,61986,2.25,18057,2.56,43929,2.14
132.0,50639,1.84,23694,3.36,26945,1.31
9.0,47142,1.71,12959,1.84,34183,1.67
12.0,42829,1.55,11568,1.64,31261,1.52
39.0,42281,1.53,10748,1.52,31533,1.54
71.0,40925,1.48,13675,1.94,27250,1.33
46.0,40681,1.48,11542,1.64,29139,1.42
121.0,40008,1.45,8774,1.24,31234,1.52
7.0,38638,1.4,8080,1.15,30558,1.49
5.0,37128,1.35,12802,1.82,24326,1.19
92.0,35885,1.3,7933,1.13,27952,1.36
73.0,35584,1.29,10914,1.55,24670,1.2
8.0,35530,1.29,8851,1.26,26679,1.3
152.0,34692,1.26,10639,1.51,24053,1.17
123.0,32768,1.19,8071,1.14,24697,1.2
others,1676580,60.83,397049,56.31,1279531,62.39
