competitorPrice,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
0.0,976,0.04,756,220,77.46,22.54
0.07,146,0.01,76,70,52.05,47.95
0.08,65,0.0,36,29,55.38,44.62
0.14,12,0.0,5,7,41.67,58.33
0.17,11,0.0,7,4,63.64,36.36
0.2,3,0.0,3,0,100.0,0.0
0.24,9,0.0,8,1,88.89,11.11
0.25,88,0.0,82,6,93.18,6.82
0.26,53,0.0,35,18,66.04,33.96
0.28,8,0.0,5,3,62.5,37.5
0.29,4,0.0,3,1,75.0,25.0
0.3,176,0.01,120,56,68.18,31.82
0.32,42,0.0,26,16,61.9,38.1
0.33,25,0.0,19,6,76.0,24.0
0.34,5,0.0,2,3,40.0,60.0
0.35,9,0.0,9,0,100.0,0.0
0.36,74,0.0,70,4,94.59,5.41
0.37,16,0.0,10,6,62.5,37.5
0.39,13,0.0,10,3,76.92,23.08
0.41,48,0.0,43,5,89.58,10.42
0.42,54,0.0,41,13,75.93,24.07
0.44,147,0.01,117,30,79.59,20.41
0.45,5,0.0,5,0,100.0,0.0
0.46,132,0.0,102,30,77.27,22.73
0.47,18,0.0,15,3,83.33,16.67
0.48,11,0.0,11,0,100.0,0.0
0.5,66,0.0,54,12,81.82,18.18
0.51,325,0.01,288,37,88.62,11.38
0.53,647,0.02,474,173,73.26,26.74
0.54,551,0.02,276,275,50.09,49.91
0.55,222,0.01,173,49,77.93,22.07
0.56,5,0.0,4,1,80.0,20.0
0.57,43,0.0,33,10,76.74,23.26
0.58,67,0.0,36,31,53.73,46.27
0.59,149,0.01,82,67,55.03,44.97
0.61,71,0.0,52,19,73.24,26.76
0.62,37,0.0,22,15,59.46,40.54
0.63,178,0.01,149,29,83.71,16.29
0.64,92,0.0,64,28,69.57,30.43
0.65,614,0.02,462,152,75.24,24.76
0.66,127,0.0,65,62,51.18,48.82
0.67,16,0.0,10,6,62.5,37.5
0.68,50,0.0,36,14,72.0,28.0
0.69,27,0.0,19,8,70.37,29.63
0.7,28,0.0,20,8,71.43,28.57
0.72,82,0.0,66,16,80.49,19.51
0.73,12,0.0,7,5,58.33,41.67
0.74,103,0.0,41,62,39.81,60.19
0.75,56,0.0,49,7,87.5,12.5
0.76,495,0.02,246,249,49.7,50.3
0.77,3,0.0,3,0,100.0,0.0
0.78,91,0.0,62,29,68.13,31.87
0.8,229,0.01,119,110,51.97,48.03
0.81,87,0.0,58,29,66.67,33.33
0.83,330,0.01,233,97,70.61,29.39
0.84,240,0.01,156,84,65.0,35.0
0.85,5,0.0,4,1,80.0,20.0
0.86,330,0.01,168,162,50.91,49.09
0.87,1150,0.04,753,397,65.48,34.52
0.88,277,0.01,158,119,57.04,42.96
0.89,136,0.01,93,43,68.38,31.62
0.9,202,0.01,141,61,69.8,30.2
0.91,114,0.0,83,31,72.81,27.19
0.92,197,0.01,148,49,75.13,24.87
0.94,103,0.0,61,42,59.22,40.78
0.95,2,0.0,0,2,0.0,100.0
0.96,53,0.0,42,11,79.25,20.75
0.97,260,0.01,114,146,43.85,56.15
0.98,2382,0.09,1266,1116,53.15,46.85
0.99,47,0.0,40,7,85.11,14.89
1.0,52,0.0,34,18,65.38,34.62
1.01,77,0.0,49,28,63.64,36.36
1.02,48,0.0,29,19,60.42,39.58
1.03,87,0.0,60,27,68.97,31.03
1.04,800,0.03,448,352,56.0,44.0
1.06,143,0.01,102,41,71.33,28.67
1.07,645,0.02,388,257,60.16,39.84
1.08,2441,0.09,1061,1380,43.47,56.53
1.09,4362,0.16,2221,2141,50.92,49.08
1.1,476,0.02,394,82,82.77,17.23
1.11,147,0.01,111,36,75.51,24.49
1.12,233,0.01,143,90,61.37,38.63
1.13,178,0.01,116,62,65.17,34.83
1.14,65,0.0,48,17,73.85,26.15
1.16,813,0.03,543,270,66.79,33.21
1.17,2777,0.1,1541,1236,55.49,44.51
1.18,498,0.02,372,126,74.7,25.3
1.19,419,0.02,260,159,62.05,37.95
1.2,1991,0.07,1411,580,70.87,29.13
1.21,595,0.02,331,264,55.63,44.37
1.22,782,0.03,527,255,67.39,32.61
1.23,161,0.01,108,53,67.08,32.92
1.24,154,0.01,72,82,46.75,53.25
1.25,81,0.0,59,22,72.84,27.16
1.26,3250,0.12,1280,1970,39.38,60.62
1.28,322,0.01,249,73,77.33,22.67
1.29,1750,0.07,914,836,52.23,47.77
1.3,2623,0.1,1529,1094,58.29,41.71
1.31,7051,0.27,4278,2773,60.67,39.33
1.32,357,0.01,186,171,52.1,47.9
1.33,35,0.0,27,8,77.14,22.86
1.34,268,0.01,221,47,82.46,17.54
1.35,123,0.0,87,36,70.73,29.27
1.36,1130,0.04,805,325,71.24,28.76
1.38,935,0.04,546,389,58.4,41.6
1.39,492,0.02,319,173,64.84,35.16
1.4,367,0.01,219,148,59.67,40.33
1.41,3547,0.13,1809,1738,51.0,49.0
1.42,2618,0.1,1400,1218,53.48,46.52
1.43,250,0.01,194,56,77.6,22.4
1.44,114,0.0,87,27,76.32,23.68
1.45,274,0.01,175,99,63.87,36.13
1.46,126,0.0,87,39,69.05,30.95
1.47,323,0.01,231,92,71.52,28.48
1.49,686,0.03,468,218,68.22,31.78
1.5,132,0.0,92,40,69.7,30.3
1.51,586,0.02,523,63,89.25,10.75
1.52,2139,0.08,1056,1083,49.37,50.63
1.53,1099,0.04,777,322,70.7,29.3
1.54,266,0.01,186,80,69.92,30.08
1.55,2231,0.08,963,1268,43.16,56.84
1.56,247,0.01,156,91,63.16,36.84
1.57,535,0.02,299,236,55.89,44.11
1.58,3077,0.12,1660,1417,53.95,46.05
1.59,1157,0.04,643,514,55.57,44.43
1.61,137,0.01,101,36,73.72,26.28
1.62,209,0.01,172,37,82.3,17.7
1.63,1384,0.05,861,523,62.21,37.79
1.64,1491,0.06,1025,466,68.75,31.25
1.65,1076,0.04,697,379,64.78,35.22
1.66,314,0.01,213,101,67.83,32.17
1.67,273,0.01,186,87,68.13,31.87
1.68,133,0.01,92,41,69.17,30.83
1.69,220,0.01,165,55,75.0,25.0
1.71,430,0.02,314,116,73.02,26.98
1.72,1483,0.06,829,654,55.9,44.1
