,total_event_count,total_event_percentage,order_count,order_percentage,no_order_count,no_order_percentage
22OI3,159787,5.8,37760,5.36,122027,5.95
2FOI,148449,5.39,33843,4.8,114606,5.59
21OKG,110419,4.01,15777,2.24,94642,4.61
18OI0EOI,96243,3.49,36461,5.17,59782,2.91
21OK3,71052,2.58,14883,2.11,56169,2.74
1COS2,55938,2.03,1259,0.18,54679,2.67
1DOIF0ZO,47419,1.72,11771,1.67,35648,1.74
18OZ00IS,46010,1.67,15414,2.19,30596,1.49
1COI00OT,44421,1.61,24334,3.45,20087,0.98
20OHG,42005,1.52,6452,0.92,35553,1.73
21OIG,39180,1.42,7626,1.08,31554,1.54
21OK2,38194,1.39,10557,1.5,27637,1.35
19OZ1ESI,34933,1.27,15591,2.21,19342,0.94
21OI2,34291,1.24,8092,1.15,26199,1.28
20OI3,31615,1.15,9340,1.32,22275,1.09
22OI2,30998,1.12,9340,1.32,21658,1.06
22OI5,30808,1.12,7838,1.11,22970,1.12
1COSF,29883,1.08,8894,1.26,20989,1.02
1EOH20OZ,27288,0.99,7276,1.03,20012,0.98
2FOZ,27240,0.99,5418,0.77,21822,1.06
others,1609830,58.41,417164,59.16,1192666,58.15
