,total_event_count,total_event_percentage,order_count,order_percentage,no_order_count,no_order_percentage
84,146079,5.3,51815,7.35,94264,4.6
82,111712,4.05,37850,5.37,73862,3.6
18,105665,3.83,31848,4.52,73817,3.6
52,104694,3.8,36180,5.13,68514,3.34
156,89827,3.26,9527,1.35,80300,3.92
176,77729,2.82,26857,3.81,50872,2.48
105,62011,2.25,21884,3.1,40127,1.96
4,55928,2.03,20311,2.88,35617,1.74
37,51836,1.88,16909,2.4,34927,1.7
1,51017,1.85,13731,1.95,37286,1.82
89,48303,1.75,14663,2.08,33640,1.64
79,44862,1.63,10613,1.51,34249,1.67
47,32082,1.16,7665,1.09,24417,1.19
102,30018,1.09,7853,1.11,22165,1.08
328,29449,1.07,11407,1.62,18042,0.88
41,29176,1.06,7867,1.12,21309,1.04
125,28426,1.03,8488,1.2,19938,0.97
32,28171,1.02,8177,1.16,19994,0.97
101,27092,0.98,5986,0.85,21106,1.03
58,26403,0.96,9440,1.34,16963,0.83
others,1575523,57.17,346019,49.07,1229504,59.95
