,total_event_count,total_event_percentage,order_count,order_percentage,no_order_count,no_order_percentage
TAB,252906,9.18,75806,10.75,177100,8.64
CRE,196138,7.12,50931,7.22,145207,7.08
FTA,182441,6.62,57067,8.09,125374,6.11
GEL,147438,5.35,43186,6.12,104252,5.08
KAP,141001,5.12,24962,3.54,116039,5.66
LOE,129541,4.7,31572,4.48,97969,4.78
FLU,105811,3.84,14806,2.1,91005,4.44
SAL,97753,3.55,24887,3.53,72866,3.55
SPR,62256,2.26,13196,1.87,49060,2.39
NAS,54770,1.99,26229,3.72,28541,1.39
PUL,54431,1.97,10053,1.43,44378,2.16
ATR,52477,1.9,12901,1.83,39576,1.93
HKP,51584,1.87,15731,2.23,35853,1.75
TRO,48570,1.76,8718,1.24,39852,1.94
DRA,43012,1.56,10411,1.48,32601,1.59
BTA,41966,1.52,13476,1.91,28490,1.39
GLO,40538,1.47,8499,1.21,32039,1.56
TMR,39243,1.42,13802,1.96,25441,1.24
PFL,38455,1.4,10755,1.53,27700,1.35
LOT,32578,1.18,8398,1.19,24180,1.18
others,748970,27.18,191285,27.13,557685,27.19
