,total_event_count,total_event_percentage,order_count,order_percentage,no_order_count,no_order_percentage
2655,53785,1.95,525,0.07,53260,2.6
2491,14666,0.53,8473,1.2,6193,0.3
16641,12369,0.45,4866,0.69,7503,0.37
16144,11134,0.4,4739,0.67,6395,0.31
7403,10002,0.36,4767,0.68,5235,0.26
3853,8683,0.32,3185,0.45,5498,0.27
1426,8396,0.3,4281,0.61,4115,0.2
1247,7949,0.29,2990,0.42,4959,0.24
1037,7933,0.29,4438,0.63,3495,0.17
1567,7761,0.28,3531,0.5,4230,0.21
11569,7526,0.27,3355,0.48,4171,0.2
1145,6833,0.25,1314,0.19,5519,0.27
4070,6522,0.24,2194,0.31,4328,0.21
1248,6453,0.23,2984,0.42,3469,0.17
4069,6108,0.22,2988,0.42,3120,0.15
7680,6089,0.22,2738,0.39,3351,0.16
9262,6027,0.22,3762,0.53,2265,0.11
15491,5922,0.21,1987,0.28,3935,0.19
2492,5724,0.21,3263,0.46,2461,0.12
3854,5719,0.21,3246,0.46,2473,0.12
others,2550402,92.54,635464,90.13,1914938,93.37
