price,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
0.02,2,0.0,2,0,100.0,0.0
0.03,8,0.0,7,1,87.5,12.5
0.04,4,0.0,4,0,100.0,0.0
0.06,1,0.0,1,0,100.0,0.0
0.07,66,0.0,33,33,50.0,50.0
0.08,195,0.01,108,87,55.38,44.62
0.09,19,0.0,14,5,73.68,26.32
0.11,1,0.0,1,0,100.0,0.0
0.13,14,0.0,10,4,71.43,28.57
0.15,81,0.0,75,6,92.59,7.41
0.17,13,0.0,10,3,76.92,23.08
0.18,5,0.0,4,1,80.0,20.0
0.19,8,0.0,7,1,87.5,12.5
0.2,56,0.0,47,9,83.93,16.07
0.21,6,0.0,6,0,100.0,0.0
0.22,15,0.0,15,0,100.0,0.0
0.23,22,0.0,21,1,95.45,4.55
0.24,15,0.0,14,1,93.33,6.67
0.25,10,0.0,8,2,80.0,20.0
0.26,47,0.0,40,7,85.11,14.89
0.28,785,0.03,635,150,80.89,19.11
0.29,54,0.0,49,5,90.74,9.26
0.3,19,0.0,17,2,89.47,10.53
0.31,20,0.0,15,5,75.0,25.0
0.32,163,0.01,133,30,81.6,18.4
0.33,476,0.02,428,48,89.92,10.08
0.34,114,0.0,105,9,92.11,7.89
0.35,15,0.0,14,1,93.33,6.67
0.36,37,0.0,27,10,72.97,27.03
0.37,43,0.0,31,12,72.09,27.91
0.39,744,0.03,531,213,71.37,28.63
0.4,280,0.01,251,29,89.64,10.36
0.41,19,0.0,13,6,68.42,31.58
0.42,10,0.0,9,1,90.0,10.0
0.43,21,0.0,16,5,76.19,23.81
0.44,50,0.0,23,27,46.0,54.0
0.45,20,0.0,19,1,95.0,5.0
0.46,38,0.0,31,7,81.58,18.42
0.47,41,0.0,31,10,75.61,24.39
0.48,10,0.0,8,2,80.0,20.0
0.5,803,0.03,478,325,59.53,40.47
0.51,46,0.0,40,6,86.96,13.04
0.52,10,0.0,8,2,80.0,20.0
0.53,75,0.0,35,40,46.67,53.33
0.54,50,0.0,35,15,70.0,30.0
0.55,752,0.03,438,314,58.24,41.76
0.56,35,0.0,28,7,80.0,20.0
0.57,85,0.0,70,15,82.35,17.65
0.58,194,0.01,114,80,58.76,41.24
0.59,96,0.0,75,21,78.12,21.88
0.61,439,0.02,307,132,69.93,30.07
0.62,332,0.01,190,142,57.23,42.77
0.63,372,0.01,329,43,88.44,11.56
0.64,28,0.0,16,12,57.14,42.86
0.65,84,0.0,67,17,79.76,20.24
0.66,341,0.01,274,67,80.35,19.65
0.67,233,0.01,176,57,75.54,24.46
0.68,112,0.0,73,39,65.18,34.82
0.69,32,0.0,26,6,81.25,18.75
0.7,25,0.0,17,8,68.0,32.0
0.72,118,0.0,58,60,49.15,50.85
0.73,43,0.0,28,15,65.12,34.88
0.74,77,0.0,46,31,59.74,40.26
0.75,145,0.01,91,54,62.76,37.24
0.76,81,0.0,73,8,90.12,9.88
0.77,16,0.0,13,3,81.25,18.75
