revenue,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
0.0,2050913,74.42,2050913,0,100.0,0.0
0.07,2,0.0,0,2,0.0,100.0
0.08,6,0.0,0,6,0.0,100.0
0.14,2,0.0,0,2,0.0,100.0
0.16,7,0.0,0,7,0.0,100.0
0.18,1,0.0,0,1,0.0,100.0
0.21,1,0.0,0,1,0.0,100.0
0.24,5,0.0,0,5,0.0,100.0
0.25,1,0.0,0,1,0.0,100.0
0.26,2,0.0,0,2,0.0,100.0
0.28,23,0.0,0,23,0.0,100.0
0.3,1,0.0,0,1,0.0,100.0
0.31,1,0.0,0,1,0.0,100.0
0.32,30,0.0,0,30,0.0,100.0
0.33,3,0.0,0,3,0.0,100.0
0.34,1,0.0,0,1,0.0,100.0
0.35,5,0.0,0,5,0.0,100.0
0.37,3,0.0,0,3,0.0,100.0
0.38,1,0.0,0,1,0.0,100.0
0.39,26,0.0,0,26,0.0,100.0
0.4,10,0.0,0,10,0.0,100.0
0.41,2,0.0,0,2,0.0,100.0
0.42,3,0.0,0,3,0.0,100.0
0.43,1,0.0,0,1,0.0,100.0
0.44,13,0.0,0,13,0.0,100.0
0.45,1,0.0,0,1,0.0,100.0
0.46,2,0.0,0,2,0.0,100.0
0.47,5,0.0,0,5,0.0,100.0
0.48,9,0.0,0,9,0.0,100.0
0.49,1,0.0,0,1,0.0,100.0
0.5,158,0.01,0,158,0.0,100.0
0.52,2,0.0,0,2,0.0,100.0
0.53,10,0.0,0,10,0.0,100.0
0.54,4,0.0,0,4,0.0,100.0
0.55,189,0.01,0,189,0.0,100.0
0.56,17,0.0,0,17,0.0,100.0
0.57,5,0.0,0,5,0.0,100.0
0.58,41,0.0,0,41,0.0,100.0
0.59,8,0.0,0,8,0.0,100.0
0.6,1,0.0,0,1,0.0,100.0
0.61,19,0.0,0,19,0.0,100.0
0.62,25,0.0,0,25,0.0,100.0
0.63,17,0.0,0,17,0.0,100.0
0.64,6,0.0,0,6,0.0,100.0
0.65,4,0.0,0,4,0.0,100.0
0.66,31,0.0,0,31,0.0,100.0
0.67,20,0.0,0,20,0.0,100.0
0.68,18,0.0,0,18,0.0,100.0
0.69,1,0.0,0,1,0.0,100.0
0.7,14,0.0,0,14,0.0,100.0
0.72,33,0.0,0,33,0.0,100.0
0.73,6,0.0,0,6,0.0,100.0
0.74,3,0.0,0,3,0.0,100.0
0.75,31,0.0,0,31,0.0,100.0
0.76,1,0.0,0,1,0.0,100.0
0.77,1,0.0,0,1,0.0,100.0
0.78,24,0.0,0,24,0.0,100.0
0.79,1,0.0,0,1,0.0,100.0
0.8,49,0.0,0,49,0.0,100.0
0.81,3,0.0,0,3,0.0,100.0
0.82,1,0.0,0,1,0.0,100.0
0.83,282,0.01,0,282,0.0,100.0
0.84,8,0.0,0,8,0.0,100.0
0.85,3,0.0,0,3,0.0,100.0
0.86,7,0.0,0,7,0.0,100.0
0.87,10,0.0,0,10,0.0,100.0
0.88,63,0.0,0,63,0.0,100.0
0.89,31,0.0,0,31,0.0,100.0
0.9,7,0.0,0,7,0.0,100.0
0.91,4,0.0,0,4,0.0,100.0
0.92,7,0.0,0,7,0.0,100.0
0.94,59,0.0,0,59,0.0,100.0
0.95,24,0.0,0,24,0.0,100.0
0.96,58,0.0,0,58,0.0,100.0
0.97,18,0.0,0,18,0.0,100.0
0.98,17,0.0,0,17,0.0,100.0
0.99,19,0.0,0,19,0.0,100.0
1.0,65,0.0,0,65,0.0,100.0
1.01,119,0.0,0,119,0.0,100.0
1.02,10,0.0,0,10,0.0,100.0
1.03,35,0.0,0,35,0.0,100.0
1.04,3088,0.11,0,3088,0.0,100.0
1.06,89,0.0,0,89,0.0,100.0
1.07,6,0.0,0,6,0.0,100.0
1.08,23,0.0,0,23,0.0,100.0
1.09,41,0.0,0,41,0.0,100.0
1.1,62,0.0,0,62,0.0,100.0
1.11,6,0.0,0,6,0.0,100.0
1.12,24,0.0,0,24,0.0,100.0
1.13,4,0.0,0,4,0.0,100.0
1.14,18,0.0,0,18,0.0,100.0
1.16,85,0.0,0,85,0.0,100.0
1.17,47,0.0,0,47,0.0,100.0
1.18,22,0.0,0,22,0.0,100.0
1.19,16,0.0,0,16,0.0,100.0
1.2,41,0.0,0,41,0.0,100.0
1.21,162,0.01,0,162,0.0,100.0
1.22,33,0.0,0,33,0.0,100.0
1.23,34,0.0,0,34,0.0,100.0
1.24,91,0.0,0,91,0.0,100.0
1.25,3,0.0,0,3,0.0,100.0
1.26,133,0.0,0,133,0.0,100.0
1.28,73,0.0,0,73,0.0,100.0
1.29,53,0.0,0,53,0.0,100.0
1.3,666,0.02,0,666,0.0,100.0
1.31,53,0.0,0,53,0.0,100.0
1.32,2242,0.08,0,2242,0.0,100.0
1.33,22,0.0,0,22,0.0,100.0
1.34,37,0.0,0,37,0.0,100.0
1.35,35,0.0,0,35,0.0,100.0
1.36,71,0.0,0,71,0.0,100.0
1.38,1444,0.05,0,1444,0.0,100.0
1.39,3,0.0,0,3,0.0,100.0
1.4,57,0.0,0,57,0.0,100.0
1.41,53,0.0,0,53,0.0,100.0
1.42,18,0.0,0,18,0.0,100.0
1.43,2,0.0,0,2,0.0,100.0
1.44,64,0.0,0,64,0.0,100.0
1.45,125,0.0,0,125,0.0,100.0
1.46,10,0.0,0,10,0.0,100.0
1.47,65,0.0,0,65,0.0,100.0
1.48,10,0.0,0,10,0.0,100.0
1.49,212,0.01,0,212,0.0,100.0
1.5,41,0.0,0,41,0.0,100.0
1.51,7,0.0,0,7,0.0,100.0
1.52,117,0.0,0,117,0.0,100.0
1.53,73,0.0,0,73,0.0,100.0
1.54,29,0.0,0,29,0.0,100.0
1.55,4,0.0,0,4,0.0,100.0
1.56,101,0.0,0,101,0.0,100.0
1.57,21,0.0,0,21,0.0,100.0
1.58,4,0.0,0,4,0.0,100.0
1.59,1749,0.06,0,1749,0.0,100.0
1.6,19,0.0,0,19,0.0,100.0
1.61,5,0.0,0,5,0.0,100.0
1.62,33,0.0,0,33,0.0,100.0
1.63,11,0.0,0,11,0.0,100.0
1.64,14,0.0,0,14,0.0,100.0
1.65,427,0.02,0,427,0.0,100.0
1.66,184,0.01,0,184,0.0,100.0
1.67,19,0.0,0,19,0.0,100.0
1.68,24,0.0,0,24,0.0,100.0
1.69,14,0.0,0,14,0.0,100.0
1.7,2,0.0,0,2,0.0,100.0
1.71,12,0.0,0,12,0.0,100.0
1.72,32,0.0,0,32,0.0,100.0
1.73,27,0.0,0,27,0.0,100.0
1.74,53,0.0,0,53,0.0,100.0
1.75,13,0.0,0,13,0.0,100.0
1.76,576,0.02,0,576,0.0,100.0
1.77,41,0.0,0,41,0.0,100.0
1.78,75,0.0,0,75,0.0,100.0
1.79,138,0.01,0,138,0.0,100.0
1.8,56,0.0,0,56,0.0,100.0
1.81,125,0.0,0,125,0.0,100.0
1.83,179,0.01,0,179,0.0,100.0
1.84,93,0.0,0,93,0.0,100.0
1.85,36,0.0,0,36,0.0,100.0
1.86,51,0.0,0,51,0.0,100.0
