rrp,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
0.07,257,0.01,139,118,54.09,45.91
0.18,2,0.0,2,0,100.0,0.0
0.2,55,0.0,46,9,83.64,16.36
0.22,12,0.0,10,2,83.33,16.67
0.26,109,0.0,100,9,91.74,8.26
0.28,22,0.0,19,3,86.36,13.64
0.29,59,0.0,56,3,94.92,5.08
0.3,236,0.01,159,77,67.37,32.63
0.33,88,0.0,66,22,75.0,25.0
0.34,115,0.0,87,28,75.65,24.35
0.36,75,0.0,71,4,94.67,5.33
0.39,26,0.0,18,8,69.23,30.77
0.41,29,0.0,20,9,68.97,31.03
0.43,179,0.01,132,47,73.74,26.26
0.44,245,0.01,228,17,93.06,6.94
0.45,4,0.0,4,0,100.0,0.0
0.46,435,0.02,393,42,90.34,9.66
0.47,6,0.0,6,0,100.0,0.0
0.5,66,0.0,59,7,89.39,10.61
0.53,416,0.02,227,189,54.57,45.43
0.54,39,0.0,31,8,79.49,20.51
0.55,8,0.0,7,1,87.5,12.5
0.56,18,0.0,15,3,83.33,16.67
0.57,245,0.01,197,48,80.41,19.59
0.61,7,0.0,6,1,85.71,14.29
0.62,6,0.0,6,0,100.0,0.0
0.63,279,0.01,201,78,72.04,27.96
0.64,249,0.01,207,42,83.13,16.87
0.65,13,0.0,11,2,84.62,15.38
0.66,565,0.02,226,339,40.0,60.0
0.67,4,0.0,3,1,75.0,25.0
0.68,56,0.0,44,12,78.57,21.43
0.69,256,0.01,204,52,79.69,20.31
0.74,11,0.0,10,1,90.91,9.09
0.75,808,0.03,589,219,72.9,27.1
0.76,4,0.0,3,1,75.0,25.0
0.77,179,0.01,104,75,58.1,41.9
0.78,35,0.0,23,12,65.71,34.29
0.8,573,0.02,502,71,87.61,12.39
0.81,235,0.01,214,21,91.06,8.94
0.83,867,0.03,375,492,43.25,56.75
0.84,37,0.0,20,17,54.05,45.95
0.85,206,0.01,199,7,96.6,3.4
0.87,285,0.01,166,119,58.25,41.75
0.88,1,0.0,1,0,100.0,0.0
0.89,19,0.0,8,11,42.11,57.89
0.9,19,0.0,17,2,89.47,10.53
0.91,10,0.0,9,1,90.0,10.0
0.95,431,0.02,238,193,55.22,44.78
0.96,115,0.0,60,55,52.17,47.83
0.97,52,0.0,50,2,96.15,3.85
1.01,31,0.0,25,6,80.65,19.35
1.02,30,0.0,25,5,83.33,16.67
1.03,50,0.0,39,11,78.0,22.0
1.04,119,0.0,93,26,78.15,21.85
1.06,48,0.0,38,10,79.17,20.83
1.07,1,0.0,1,0,100.0,0.0
1.08,360,0.01,324,36,90.0,10.0
1.09,1209,0.04,787,422,65.1,34.9
1.1,61,0.0,42,19,68.85,31.15
1.11,8,0.0,3,5,37.5,62.5
1.12,313,0.01,294,19,93.93,6.07
1.14,191,0.01,128,63,67.02,32.98
1.16,44,0.0,28,16,63.64,36.36
1.18,131,0.0,104,27,79.39,20.61
1.19,333,0.01,182,151,54.65,45.35
1.2,118,0.0,103,15,87.29,12.71
1.22,37,0.0,22,15,59.46,40.54
1.23,110,0.0,65,45,59.09,40.91
1.24,278,0.01,220,58,79.14,20.86
1.25,59,0.0,53,6,89.83,10.17
1.26,363,0.01,242,121,66.67,33.33
1.29,160,0.01,123,37,76.88,23.12
1.31,473,0.02,321,152,67.86,32.14
1.32,392,0.01,227,165,57.91,42.09
1.33,412,0.01,320,92,77.67,22.33
1.35,158,0.01,132,26,83.54,16.46
1.36,246,0.01,159,87,64.63,35.37
1.38,529,0.02,410,119,77.5,22.5
1.39,153,0.01,111,42,72.55,27.45
1.4,124,0.0,86,38,69.35,30.65
1.42,532,0.02,416,116,78.2,21.8
1.43,322,0.01,219,103,68.01,31.99
1.44,884,0.03,377,507,42.65,57.35
1.45,363,0.01,249,114,68.6,31.4
1.46,20,0.0,19,1,95.0,5.0
1.47,782,0.03,527,255,67.39,32.61
1.49,487,0.02,321,166,65.91,34.09
1.5,1,0.0,1,0,100.0,0.0
1.51,5,0.0,4,1,80.0,20.0
1.52,623,0.02,394,229,63.24,36.76
1.53,339,0.01,250,89,73.75,26.25
1.54,523,0.02,400,123,76.48,23.52
1.56,767,0.03,578,189,75.36,24.64
1.57,281,0.01,159,122,56.58,43.42
1.58,4,0.0,4,0,100.0,0.0
1.59,321,0.01,226,95,70.4,29.6
1.61,350,0.01,275,75,78.57,21.43
1.63,772,0.03,466,306,60.36,39.64
1.64,1379,0.05,919,460,66.64,33.36
1.65,1322,0.05,827,495,62.56,37.44
1.66,704,0.03,617,87,87.64,12.36
1.69,693,0.03,535,158,77.2,22.8
