,DT,RF,XGB,Combined
pid_order_rate,0.7935673409443492,0.12617469921539728,0.4182837,0.4460085803675799
click_to_order_conv,0.1767491589901146,0.14814896030700486,0.09169749,0.13886520366751234
pid_click_rate,0.0009028306539448716,0.10793448385178231,0.02907742,0.045971578172296655
pid_basket_rate,0.00370099289733895,0.09151131910110635,0.008480806,0.03456437263403949
group_te,0.010084299262090233,0.0629611799784054,0.019029008,0.030691495821700717
basket_to_order_conv,0.0,0.05827616513147594,0.008037834,0.022104666519908906
days_since_last_click,0.0,0.04803208819980366,0.00393043,0.017320839375936134
category_te,0.0,0.041938208144018066,0.008948715,0.016962307849231365
click_streak_7d,0.0,0.04076527596261019,0.009757236,0.016840837202952683
avail_x_priceRatio,0.0003373787257875912,0.025252187136499245,0.009104787,0.011564784411446502
last_event_was_click,0.0,0.02960972165416267,0.0029069947,0.010838905438492983
manufacturer_te,0.0,0.02568232157290727,0.0047401222,0.010140814604314666
days_since_last_basket,0.0,0.01780613916919815,0.003463896,0.007090011720214246
product_age_days,0.010097113864230787,0.0024350481887633452,0.008724395,0.007085519079567711
availability_1,0.0,0.012225018891948701,0.00875001,0.006991676391249975
adFlag_0,0.0,0.010383291586261098,0.009682094,0.00668846177774042
priceRatio,0.0,0.016233065798569632,0.0032241135,0.006485726429667378
weekDay_sin,0.0028896561972869502,0.004181165171716677,0.010322523,0.005797781557444524
pid_price_std,0.0,0.012540476141555483,0.0035288671,0.005356447763760347
adFlag_x_priceRatio,0.0,0.008975976617286868,0.0057305894,0.0049021886677875345
