,importance
price,0.5345626511316309
rrp,0.23018014470806833
competitorPrice,0.12883571053863793
group_te,0.030487121276870154
category_te,0.023258214700966614
priceDiscount,0.014961224272478707
pid_price_std,0.004902241336459571
priceRatio,0.00413508368178467
manufacturer_te,0.0036201094451960934
pid_order_rate,0.0035990295774006717
priceVsCompetitor,0.0032614960130367588
product_age_days,0.002659828963028334
pid_basket_rate,0.0025672299563408514
pid_click_rate,0.002478349799235005
pharmForm_NAS,0.001201828933474933
